Job Title,Company Name,Location,Content,Link,Date
Gen AI Trainer,Cognizant Technology Solutions Australia Pty Ltd,Australia,Deliver training courses from Cognizant’s course catalog in generative AI specialization.,https://www.seek.com.au/job/82380747?type=standard&ref=search-standalone&origin=cardTitle#sol=b78a4967f1c669e6576093ea74c5014949b13c24,
Senior Solution Architect - ServiceNow,Cognizant Technology Solutions Australia Pty Ltd,Australia,We are seeking a Senior Solution Architect with expertise in ServiceNow to join our growing team,https://www.seek.com.au/job/82074053?type=standard&ref=search-standalone&origin=cardTitle#sol=4c5a0be0f6b5f3d345d28d47ae95f96750114a4c,
Scrum Master,Cognizant Technology Solutions Australia Pty Ltd,Australia,"Cognizant is seeking a highly experienced Scrum Master, to play a pivotal role in coaching and implementing Scrum in a scaled environment",https://www.seek.com.au/job/82187907?type=standard&ref=search-standalone&origin=cardTitle#sol=2b12ad36ba54db1509da1913923b850f4e5783ab,
Site Reliability Architect,Cognizant Technology Solutions Australia Pty Ltd,Australia,"We are is seeking a Site Reliability Architect, to play a pivotal role in managing the complex challenges of scale unique to our digitization program",https://www.seek.com.au/job/82438092?type=standard&ref=search-standalone&origin=cardTitle#sol=2d1dcac319299d640f27c3a5be3a5378a23b3ca2,
Salesforce Developer - (REMOTE) Anywhere in Australia,AYAN INFOTECH PTY LTD,Australia,Salesforce Developers and fluent in Apex along with Omni Studio experience and Siebel experience is desirable. Australian citizen's are preferred.,https://www.seek.com.au/job/82771924?type=standard&ref=search-standalone&origin=cardTitle#sol=76e4669dcf90e092e850a2523efa0c6c3366bb8c,
Senior Guidewire Developer,icare,Australia,"Enhance and maintain Guidewire insurance solutions, driving efficiency, reliability, and innovation in a dynamic, collaborative environment.",https://www.seek.com.au/job/82767364?type=standard&ref=search-standalone&origin=cardTitle#sol=c7bc71913a199be91086f3eff855e4b27745dda1,
Senior Training and Development Officer,SA Health - Dept for Health and Wellbeing,Australia,"As the Senior Training and Development Officer, you will drive the development, maintenance and delivery of training materials and courses.",https://www.seek.com.au/job/82788318?type=standard&ref=search-standalone&origin=cardTitle#sol=6c3bf2d30e3bd3760915d3f1c343e245974af633,
Executive Officer,SA Health - Dept for Health and Wellbeing,Australia,Responsible for providing a range of effective administrative services and executive support with a strong focus on correspondence.,https://www.seek.com.au/job/82558116?type=standard&ref=search-standalone&origin=cardTitle#sol=e3e359396658b2bc0eb35c6e313ef9b1d63b3822,
Assistant Director _ Franchise Development,MindChamps Early Learning & PreSchool,Australia,"Join MindChamps as a Franchise Development Specialist! Lead franchise growth, engage top candidates, and shape the future of early education.",https://www.seek.com.au/job/82348109?type=standard&ref=search-standalone&origin=cardTitle#sol=d5709e8dcf40a487731009a71c0f8d716ef949d9,
API Engineer,Cognizant Technology Solutions Australia Pty Ltd,Australia,"At Cognizant, together with your colleagues from all around the world, you will collaborate on creating solutions for the world's leading companies...",https://www.seek.com.au/job/82792063?type=standard&ref=search-standalone&origin=cardTitle#sol=5b10ca6e95c8deadf493e70064365ea83275ded2,
Full Stack Engineer,Cognizant Technology Solutions Australia Pty Ltd,Australia,"At Cognizant, together with your colleagues from all around the world, you will collaborate on creating solutions for the world's leading companies...",https://www.seek.com.au/job/82792072?type=standard&ref=search-standalone&origin=cardTitle#sol=392723b5eeb058dcad8c1bbe733a8468917717f0,
Salesforce Business Analyst,Cognizant Technology Solutions Australia Pty Ltd,Australia,We are seeking a highly experienced Business Analyst to join our team. The ideal candidate will have extensive technical expertise in Salesforce an...,https://www.seek.com.au/job/82792051?type=standard&ref=search-standalone&origin=cardTitle#sol=16d3aa2ff7bdb76a240eb4570d42526d6f903c1a,
UI Engineer,Cognizant Technology Solutions Australia Pty Ltd,Australia,"At Cognizant, together with your colleagues from all around the world, you will collaborate on creating solutions for the world's leading companies...",https://www.seek.com.au/job/82792097?type=standard&ref=search-standalone&origin=cardTitle#sol=1370300decb5faa51c1613462218ef2990695033,
